,year,month,author_name,paper_title,process,CW Performance,frequency,Psat (dBm),PAEmax (%),PA Efficieny Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),PA_type,node
25,2012,6,Giovannelli,A 80 W broadband GaN HEMT envelope tracking PA harmonically tuned for WCDMA and LTE with 50% average efficiency,GaN,,0.8,,,,,,19.8,,,,49,50.08 (DE),10MHz L TE DL 7.5dB PAPR signal,ET,GaN
26,2013,3,Zhou,"1 W, Highly Efficient, Ultra-Broadband Non-Uniform Distributed Power Amplifier in GaN",GaN,,0.8,33.45,30,PAE,,,12.5,,,,,,,,0.5 μm GaN
27,2016,5,Nghiem, A 100 W GaN HEMT SPA-D with 57% fractional bandwidth for DVB-T applications ,GaN,,0.8,50,70,PAE,40,45,12,,,,,,,,GaN HEMT Cree
28,2017,10,Hoffmann,Novel digital microwave PA with more than 40% PAE over 10 Db power back-off range,GaN,,0.8,36.7,62,PAE,,,,,,,,,,Digital PA, FBH 0.25 μm GaN HEMT
29,2018,3,Hu,Doherty Power Amplifier Distortion Correction Using an RF Linearization Amplifier,GaN,,0.8,,,,,,,,-34 / -30 / -31.5 / -33 8,,33 / 34 /33 / 33,30.5 / 33.2 / 30.9 / 29.6,WCDMA (BW = 15 / 20 / 30 / 40 MHz),2-Way with a linearization amplifier ,GaN
30,2019,10,Hoffmann,GaN Digital Outphasing PA,GaN,0.8 GHz,0.8,37.6,59,DE,,,16,,,,,,,,0.25um GaN
31,2015,7,Barthwal,Bandwidth Enhancement of Three-Stage Doherty Power Amplifier Using Symmetric Devices,GaN,,0.825,44,75,DE,30,40,11,,,,33.97,57.57 (DE),"WCDMA (5 MHz, 9.65 dB PAPR)",,GaN HEMT
32,2017,9,Barthwal,A Design Strategy for Bandwidth Enhancement in Three-Stage Doherty Power Amplifier With Extended Dynamic Range,GaN,,0.825,46.3,78,DE,,,30.5,,,,35.7,52.2 (DE),"WCDMA (15 MHz, 10.6 dB PAPR) @0.85 GHz",,CGH40025F GaN
33,2013,9,Ma,A Wideband Doherty Power Amplifier With 100 MHz Instantaneous Bandwidth for LTE-Advanced Applications,GaN,,0.84,49.3,75,DE,,,14,,,,42.5,42.5 (DE),"LTE (100 MHz, 64-QAM, 7.2 dB PAPR) @ 810 MHz",,GaN HEMT
34,2015,5,Wentzel,A flexible GaN MMIC enabling digital power amplifiers for the future wireless infrastructure,GaN,,0.84,41.5,46,PAE,,,34,,,,,,,,GaN
35,2013,6,Wentzel,A dual-band voltage-mode class-D PA for 0.8/1.8 GHz applications,GaN,,0.85,37.3,,,,,,,,,,,,,GaN PA MMIC
36,2014,6,Abadi,An extended bandwidth Doherty power amplifier using a novel output combiner,GaN,,0.85,43,67,DE,,,14.9,,,,33.5,42,Concuurent 15 MHz WCDMA + 15 MHz LTE(9.4 dB Combined PAPR),,GaN HEMT
37,2016,8,Ruiz, Constant-gain envelope tracking in a UHF outphasing transmitter based on continuous-mode class-E GaN HEMT PAs ,GaN,,0.85,42,80,PAE,,,,,,,,,,, CGH35030F GaN HEMT
38,2017,3,Darraji,Generalized Theory and Design Methodology of Wideband Doherty Amplifiers Applied to the Realization of an Octave-Bandwidth Prototype,GaN,,0.85,43,70,DE,32,30,14.8,,,,36,47.1 (DE),"LTE (20 MHz, 7.1 dB PAPR)",,GaN CGH40010
39,2018,2,Barthwal,A Design Strategy for Bandwidth Enhancement in Three-Stage Doherty Power Amplifier With Extended Dynamic Range,GaN,,0.85,46,70,PAE,,,10,,,10MHz LTE,35.7,52.2,,,
40,2019,,Sear,A Baseband Feedback Approach to Linearization of a UHF Power Amplifier,GaN(CGH2701F),,0.85,42,28,PAE,39,,,,,,,,,,
41,2019,12,Jundi,A Series-Connected-Load Doherty Power Amplifier With Push-Pull Main and Auxiliary Amplifiers for Base Station Applications,GaN,0.72-0.98,0.85,55.5,69,DE,,,15,WCDMA,,,,50 (DE),,,GaN
42,2014,6,Motoi,Digital doherty transmitter with envelope ΔΣ modulated class-D GaN power amplifier for 800 MHz band,GaN ,,0.86,35.9,75.6,DE,,,,,,,28.6,56.5 (DE),"CMDA (1 MHz, 6.5 dB PAPR)",,GaN 
43,2011,6,Cidronali,A 240W dual-band 870 and 2140 MHz Envelope Tracking GaN PA designed by a probability distribution conscious approach,GaN,,0.88,,,,,,,,,,54.88,69.5 (DE),6.5 dB PAPR,,GaN HEMT
44,2014,6,Sarbishaei,Concurrent dual-band envelope tracking power amplifier for carrier aggregated systems,GaN,,0.88,,,,,,,LTE 7.4dB PAPR,-38.42,,39,45, LTE (7.4 dB PAPR),ET,GaN
45,2013,3,Kim,Optimization of Envelope Tracking Power Amplifier for Base-Station Applications,GaN,,0.889,45,80,PAE,,,16.19,,,,40.14,58.76,LTE,ET,Cree CGH40045 GaN HEMT
46,2010,5,AIMuhaisen,Novel wide band high-efficiency active harmonic injection power amplifier concept,GaN,,0.9,40,85.7,DE,15,74.3,22,,,,,,,,10 W GaN
47,2011,2,Fagotti,Concurrent Hex-Band GaN Power Amplifier for Wireless Communication Systems,GaN,,0.9,36.7,49,PAE,21,21,22,,,,,,,,GaN HEMT
48,2012,6,Andersson,Decade bandwidth high efficiency GaN HEMT power amplifier designed with resistive harmonic loading ,GaN,,0.9,41,55,PAE,,,,,,,34,29,"LTE (10 MHz, 7 dB PAPR)",,GaN HEMT
49,2012,6,Wentzel,An 8W GaN-based H-bridge class-D PA for the 900 MHz band enabling ternary coding,GaN,,0.9,,,,,,,,,,39,48 (DE),PWM input,,GaN MMICs
50,2013,9,Golestaneh,An Extended-Bandwidth Three-Way Doherty Power Amplifier ,GaN,,0.9,44,60,DE,32,45,15.5,,,,35,53,WCDMA (7.14 dB PAPR),,GaN
51,2014,7,Fehri,Joint dual-band crest factor reduction and digital predistortion of power amplifiers driven by inter-band carrier aggregated signals,GaN,,0.9,,,,,,,,-27.3,,36,45 (DE),"LTE ( 15 MHz, 8.4 dB PAPR)",,GaN
52,2015,10,Cos,Hysteresis and Oscillation in High-Efficiency Power Amplifiers,GaN,,0.9,40.9,86.8,PAE,,,19.5,,,,,,,,GaN HEMT
53,2015,5,Cos,Parametric hysteresis in power amplifiers,GaN,,0.9,40.9,86.8,PAE,,,,,,,,,,Class E,GaN HEMT
54,2015,1,Dai,A New Distributed Parameter Broadband Matching Method for Power Amplifier via Real Frequency Technique,GaN,,0.9,40.2,85.1,PAE,37,65,18.2,,,,,,,,GaN HEMT CGH40010
55,2016,7,Diddi, Broadband digitally-controlled power amplifier based on CMOS / GaN combination ,GaN,,0.9,34.5,58,DE,,,,,,,28,35.8 (DE),"LTE (5 MHz, 16-QAM, 7.29 dB PAPR)",,CMOS/GaN combination
56,2017,8,Huang, Design of Multioctave Bandwidth Power Amplifier Based on Resistive Second-Harmonic Impedance Continuous Class-F ,GaN,,0.9,46.9,70,DE,,,20,,,,,,,,GHV40030F GaN HEMT 
57,2018,8,Wentzel,Digital Sequential PA for Flexible Efficiency Tuning Over Wide Power Back-Off Range,GaN,,0.9,37.7,71,DE,,,,,,,,,,,0.25 µm GaN HEMT MMIC
58,2018,6,Wentzel,Digital Sequential PA for Flexible Efficiency Tuning Over Wide Power Back-Off Range,GaN,,0.9,37.7,67,DE,,,,,,,,,,,
59,2018,5,Lin,Analysis and Design of a High Efficient Dual-Frequency Doherty Power Amplifier,GaN,,0.9,44.3,65.3,PAE,37.5,62,16,,,,,,,,Cree GaN HEMT
60,2018,5,Heinrich,GaN pushing the limits of high-speed switching,GaN,,0.9,49,38.5,PAE,,,,,,20,,,WCDMA(20MHz),,GaN
61,2020,7,Gilasgar,High_efficiency Reconfigurable Dual-Band Class-F Power Amplifier With Harmonic Control Network Using MEMS,GaN,0.9,0.9,39.2,69.5,PAE,,,13.6,,,,,,,,GaN HEMT
62,2020,,Gilabert,Design and Digital Predistortion Linearization of a Wideband Outphasing Amplifier Supporting 200 MHz Bandwidth,GaN,0.8-1,0.9,,,,,,,200 MHz  12.2 dB PAPR,-41.5,,26.3,22.7(DE),64 QAM,,Cree CGH40006P
63,2020,7,Gilasgar,High_efficiency Reconfigurable Dual-Band Class-F Power Amplifier With Harmonic Control Network Using MEMS,GaN,0.9,0.9,39.2,69.5,PAE,,,13.6,,,,,,,,GaN HEMT
64,2020,,Gilabert,Design and Digital Predistortion Linearization of a Wideband Outphasing Amplifier Supporting 200 MHz Bandwidth,GaN,0.8-1,0.9,,,,,,,200 MHz  12.2 dB PAPR,-41.5,,26.3,22.7(DE),64 QAM,,Cree CGH40006P
65,2016,8,Wentzel, Digital microwave power amplifier with energy recovery ,GaN,,0.91,38.8,86,DE,,,,,,,,,,,GaN
66,2018,1,Kilic,Highly efficient dual-band GaN power amplifier utilising pin diode-based tunable harmonic load matching,GaN,,0.92,41.5,76.7,PAE,,,,,,,,,,,GaN
67,2013,1,Nghiem,Design of a concurrent quad-band GaN-HEMT Doherty power amplifier for wireless applications ,GaN,,0.95,44,50,DE,,,8,,,,,,,Doherty ,GaN-HEMT
68,2013,11,Park,Hybrid Current-Mode Class-S Power Amplifier With GaN Schottky Diode Using Chip-On-Board Technique for 955 MHz LTE Signal ,GaN,,0.955,,,,,,,,,,37.6,33.3 (DE),"LTE (10 MHz,  8.5 dB PAPR)",,GaN Hybrid
69,2009,8,Lee,A High-Efficiency GaN-Based Power Amplifier Employing Inverse Class-E Topology,GaN,,1.0,41.03,78.8,PAE,40,75,19.03,,,,,,,,
70,2009,2,Helaoui,Optimizing Losses in Distributed Multiharmonic Matching Networks Applied to the Design of an RF GaN Power Amplifier With Higher Than 80% Power-Added Efficiency,GaN,,1.0,39.7,81.3,PAE,33,30,15.9,,,,,,,,
71,2010,5,Krishnamurthy,100 W GaN HEMT power amplifier module with > 60% efficiency over 100–1000 MHz bandwidth,GaN,,1.0,50,58,DE,,,15,,,,,,,,8V GaN HEMT
72,2012,6,Carrubba,Continuous-ClassF3 power amplifier mode varying simultaneously first 3 harmonic impedances ,GaN,,1.0,35.9,80.6,DE,,,15.5,,,,,,,Class F3,GaN
73,2012,11,El-Gabaly,2-W Broadband GaN Power-Amplifier RFIC Using thefTDoubling Technique and Digitally Assisted Distortion Cancellation,GaN,,1.0,33,37,DE,31.3,,12.4,,,,,,,,0.8-μm GaN HFET
74,2012,4,Carrubba ,The Continuous Inverse Class-F Mode With Resistive Second-Harmonic Impedance,GaN,,1.0,19.2,80.1,DE,13.5,25,22,,,,,,,,GaAs pHEMT
75,2014,1,Shao,Design of GaN Doherty Power Amplifiers for Broadband Applications,GaN,,1.0,41,78.5,PAE,,,14.6,,,,,,,,GaN
76,2016,8,Beltran, Transmission-line broadband GaN FET class-E power amplifier ,GaN,,1.0,43,83,DE,,,,,,,,,,,GP2001 GaN FETs
77,2018,11,Inza,1-40GHz MMIC Distributed Power Amplifier in Gallium Nitride Technology with PldB> 31dBm,GaN,,1.0,35.5,4,PAE,,,20,,,,,,,,100nm
78,2018,6,Henricksen,"A1.4kW, Highly-Efficient, GaN, Partially-Matched FET for L-Band Applications",GaN,,1.0,61.5,71.5,DE,,,20.8,,,,,,,,GaN on SiC
79,2018,9,Hühn,Highly Compact GaN-Based All-Digital Transmitter Chain Including SPDT Switch for Massive MIMO,GaN,,1.0,35.2,50,DE,,,29.1,,-28.1,5,28.5,46(DE),,,0.25μm GaN HEMT
80,2018,9,Hühn,Highly Compact GaN-Based All-Digital Transmitter Chain Including SPDT Switch for Massive MIMO,GaN,,1.0,35.2,50,DE,,,29.1,,-30.3,20,28.9,47(DE),,,0.25μm GaN HEMT
81,2018,9,Hühn,Highly Compact GaN-Based All-Digital Transmitter Chain Including SPDT Switch for Massive MIMO,GaN,,1.0,35.2,50,DE,,,29.1,,-39.8,5,28.4,38(DE),,,0.25μm GaN HEMT
82,2018,9,Hühn,Highly Compact GaN-Based All-Digital Transmitter Chain Including SPDT Switch for Massive MIMO,GaN,,1.0,35.2,50,DE,,,29.1,,-30.2,20,29,40(DE),,,0.25μm GaN HEMT
83,2018,11,Kilinc,Design of an Ultra-Wideband GaN Power Amplifier via Real Frequency Technique,GaN,,1.0,40.5,60,PAE,,,13.5,,,,,,,,GaN
84,2019,2,Giofre,A GaN Single-Chip Front End With Improved Efficiency and Power by Using Class F Approach,GaN,,1.0,46.5,48,PAE,,,36,,,,,,,,
85,2019,,Sharma,Novel High Efficiency Power Amplifier Mode Using Open Circuit Harmonic Loading,GaN,,1.0,39.8,87,DE,,,10,,,,,,,,
86,2020,9,Zhang,A Broadband High-Efficiency Power Amplifier by Using Branch Line Coupler,GaN,1.0-3.0,1.0,41,64,DE,,,10.2,5MHz 6.5-dB PAPR,,,35.5,31 (DE),W-CDMA,,Wolfspeed CGH40010F
87,2020,9,Zhang,A Broadband High-Efficiency Power Amplifier by Using Branch Line Coupler,GaN,1.0-3.0,1.0,41,64,DE,,,10.2,5MHz 6.5-dB PAPR,,,35.5,31 (DE),W-CDMA,,Wolfspeed CGH40010F
88,2021,1,Bidgoli,Multioctave Power Amplifier Design Using 9:1 Planar Impedance Transformer ,GaN ,0.5-3,1.0,46,57.5,PAE,,,11,,,,,,,,CGH40045
89,2021,2,Zhang,Design of a Dual-Band Power Amplifier Using a Simple Method,GaN ,1-2.3,1.0,41.6,72.4,DE,,,11.6,WCDMA,,5,35.7,32,,,Wolfspeed CGH40010F
90,2021,5,Ghazizadeh,Design of a 50-W Power Amplifier With Two-Octave Bandwidth and High-Efficiency Using a Systematic Optimization Approach,GaN ,0.8-3.2,1.0,48.5,65,DE,,,12,,,,,,,,Wolfspeed 25W/45W GaN
91,2021,,Cao,Hybrid Asymmetrical Load Modulated Balanced Amplifier With Wide Bandwidth and Three-way-doherty Efficiency Enhancement,GaN,0.55-2.2,1.0,43,68,DE,,,,,,,,,,,Wolfspeed CGH40010
92,2022,4,Gao,Dual-Band Three-Way Doherty Power Amplifier Employing Dual-Mode Gate Bias and Load Compensation Network,GaN ,1,1.0,45,61,DE,,,20,20 MHz LTE,,20,36,54.6 (DE),,,
93,2022,6,Chen ,A 700-2800MHz Switchless Class-G Power Amplifier with Two-Quadrant Modulation for Back-off Efficiency Improvement,GaN ,1,1.0,43,52,PAE,,,11.7,,,,,,,,
94,2022,6,Roberg,A 50 W 1-6 GHz GaN MMIC Power Amplifier Module with Greater than 30% Power Added Efficiency,GaN ,1,1.0,47,42.5,PAE,,,32,,,,,,,,
95,2022,6,Roberg,A 50 W CW 1-6 GHz GaN MMIC Power Amplifier Module with Greater than 30 % Power Added Efficiency,GaN,1-6.0,1.0,47.8,43,PAE,,,32,,,,,,,,QGaN225
96,2018,6,Henricksen,"A1.4kW, Highly-Efficient, GaN, Partially-Matched FET for L-Band Applications",GaN,,1.1,61.8,70,DE,,,20.8,,,,,,,,GaN on SiC
97,2013,8,Andersson,A 1–3-GHz Digitally Controlled Dual-RF Input Power-Amplifier Design Based on a Doherty-Outphasing Continuum Analysis,GaN,,1.2,44.5,60,PAE,,,12,,,,36.1,50,WCDMA,,GaN HEMTs
98,2013,6,Wu,A wideband 0.7–2.2 GHz tunable power amplifier with over 64% efficiency based on high-Q second harmonic loading ,GaN,,1.2,37,78,DE,,,15,,,,,,,,GaN
99,2014,10,Giofrè,A Closed-Form Design Technique for Ultra-Wideband Doherty Power Amplifiers,GaN,,1.2,41,66,DE,,,11.5,,,,36,52,3GPP (5 MHz),,GaB HEMT
100,2015,9,Jundi,An 85-W Multi-Octave Push–Pull GaN HEMT Power Amplifier for High-Efficiency Communication Applications at Microwave Frequencies,GaN,,1.2,49.1,73,DE,39,12,14,,,,,,,,GaN HEMT
101,2017,9,Zhuang,Design of Multioctave High-Efficiency Power Amplifiers Using Stochastic Reduced Order Models,GaN,,1.2,44.2,83,PAE,,,14,,,,,,,,e GaN HEMT CGH40025F
102,2018,6,Jia,A Broadband Doherty Amplifier With Back-Off Efficiency Enhancement,GaN,,1.2,46.5,70,DE,,,,,,,,,,,CGH40025F 
103,2018,4,Jia,A 0.25–1.25-GHz High-Efficiency Power Amplifier With Computer-Aided Design Based on Optimized Impedance Solution Continuum,GaN,,1.2,42.3,70.4,DE,,,12,,,,,,,,CREE GaN HEMT CGH40025F
104,2018,6,Jia,A Broadband Doherty Amplifier With Back-Off Efficiency Enhancement,GaN,,1.2,46.5,75,DE,,,14.5,,,,,,,,CGH40025F
105,2019,2,Yang,Bandwidth Extension of Doherty Power Amplifier Using Complex Combining Load With Noninfinity Peaking Impedance,GaN,,1.2,43,61,DE,,,10,,,20 MHz LTE,38,54,,,
106,2020,4,Zhang,Design of a Broadband High-Efficiency Hybrid Class-EFJ Power Amplifier,GaN,,1.2,42.6,63,DE,,,25.3,,,,,,,,HEMTs CGH40010F
107,2012,6,Mimis,Multichannel and Wideband Power Amplifier Design Methodology for 4G Communication Systems Based on Hybrid Class-J Operation ,GaN,1.2,1.2,40,59,DE,,,13,,-33,,30,24 (DE),"LTE (20 MHz, 10.42 dB PAPR, 64-QAM)",,GaN HEMT
108,2020,4,Zhang,Design of a Broadband High-Efficiency Hybrid Class-EFJ Power Amplifier,GaN,,1.2,42.6,63,DE,,,25.3,,,,,,,,HEMTs CGH40010F
109,2021,3,Niida ,A 0.6-2.1-GHz Wideband GaN High-Power Amplifier Using Transmission-Line-Transformer-Based Differential-Mode Combiner With Second-Harmonic Surpression,GaN ,0.6-2.1,1.2,54,58,PAE,,,10,,,,,,,,In house 0.25um GaN 
110,2018,4,Cui,A high power inverse class-F GaN amplifier for L-band GPS applications,GaN,,1.227,51.23,42,PAE,,,19,,,,,,,,GaN
111,2018,4,Gheidi,A broadband envelope-tracking push-pull GaN power amplifier using grounded-coplanar Marchan balun,GaN,,1.3,43.98,65,DE,42,50,20,,,10,38.57,47(DE),LTE(10MHz),,0.25um GaN HEMT
112,2013,6,Franco,"An 80% power efficient, 125-Watt, GaN-based RF power amplifier designed for continuous duty and linear operation on L-band",GaN,,1.315,51,78,PAE,50,75,18,,,,,,,,"Rogers 4003C, 32-mil thick substrate"
113,2019,8,Mugisho,Generalized Class-E Power Amplifier With Shunt Capacitance and Shunt Filter,GaN,1.37 GHz,1.37,39.8,82.7,PAE,37.8,70,14,,,,,,,,GaN
114,2013,9,Ortega-Gonzalez,High-Power Wideband L-Band Suboptimum Class-E Power Amplifier ,GaN,,1.4,52.5,81,PAE,,,14.7,,,,,,,,GaN HEMT
115,2014,6,Tuffy,A compact high efficiency GaN-Si PA implemented in a low cost DFN package with 71% fractional bandwidth,GaN,,1.4,,,,,,13,,,,43,66,W-CDMA (9.1 dB PAPR),,GaN-Si
116,2016,5,Jundi, An octave high power push-pull Doherty amplifier with broadband 2nd harmonic termination control ,GaN,,1.4,52,65,DE,42,34,16,,,,,,,,CGH40090PP
117,2018,1,Fang,Two-Way Doherty Power Amplifier Efficiency Enhancement by Incorporating Transistors’ Nonlinear Phase Distortion,GaN,,1.4,42,72,DE,34.5,58,18.2,,,,36,62 (DE),"LTE (20 MHz, 6.6 dB PAPR)",,CGH40006S GaN
118,2018,1,Meng,Design of Dual-Band High-Efficiency Power Amplifiers Based on Compact Broadband Matching Networks,GaN,,1.4,41.3,65,PAE,39,58,13,,,,,,,,Cree CGH40010F
119,2019,12,Liu,Novel Dual-Band Equal-Cell Doherty Amplifier Design With Extended Power Back-Off Range,GaN ,1.4 and 3.5,1.4,42.5,70,DE,,,,,,,32.5,52.1(DE),WCDMA(5MHz),,CGH40006S
120,2020,7,Chang,Frequency-Agile Class-J Power Amplifier With Clockwise Fundamental- and Second-Harmonic Loads,GaN ,0.8 - 2.4,1.4,40.5,60,DE,,,10.4,20 MHz LTE,,,33.6,33.4,,,GaN
121,2020,8,Komatsuzaki,A Dual-Mode Bias Circuit Enabled GaN Doherty Amplifier Operating in 0.85-2.05GHz and 2.4-4.2GHz,GaN,0.85-2.05,1.4,32.7,44,PAE,,,14,,,,,,,,0.15um GaN
122,2020,2,Liu,Bandwidth Enhancement of Frequency Dispersive Doherty Power Amplifier,GaN,,1.4,41.9,62,DE,,,9,,,,,,,,Wolfspeed CGH40006S
123,2020,2,Liu,Bandwidth Enhancement of Frequency Dispersive Doherty Power Amplifier,GaN,,1.4,41.9,62,DE,,,9,,,,,,,,Wolfspeed CGH40006S
124,2021,1,Cao,Asymmetrical Load Modulated Balanced Amplifier With Continuum of Modulation Ratio and Dual-Octave Bandwidth ,GaN ,0.55-2.2,1.4,41.5,51,PAE,33,,14,LTE,,20,32,58 (DE),,,Wolfspeed CGH40010F
125,2018,11,Kitamura,GaN HEMT Darlington Power Amplifier with Independent Biasing for High-Efficiency Low-Distortion Wide-Dynamic-Range Adjustment,GaN,,1.45,34,55,PAE,,,17,,-40.9,10,20,,64QAM,,
126,2018,11,Kitamura,GaN HEMT Darlington Power Amplifier with Independent Biasing for High-Efficiency Low-Distortion Wide-Dynamic-Range Adjustment,GaN,,1.45,34,55,PAE,,,17,,-28.4,10,32,,64QAM,,
127,2002,11,Chung,Effects of output harmonic termination on PAE and output power of AlGaN/GaN HEMT power amplifier,GaN,,1.5,31,57,PAE,,,12.6,,,,,,,,AlGaN/GaN
128,2006,6,Maekawa,A 500W Push-Pull AlGaN/GaN HEMT Amplifier for L-Band High Power Application,GaN,,1.5,56.98,49,DE,56,43,17.8,,,,,,,,AlGaN/GaN
129,2007,6,Matsunaga,Analogue Dynamic Supply Voltage L-band GaN High Power Amplifier with Improvement of Efficiency and Linearity,GaN,,1.5,40,50,DE,,,17,,,,30,,W-CDMA,,
130,2008,6,Xie,Directional dual band distributed power amplifier with composite left/right-handed transmission lines,GaN,,1.5,39.5,27,PAE,,,17,,,,,,,,
131,2008,6,Xie,A high efficiency broadband monolithic gallium nitride distributed power amplifier,GaN,,1.5,39.4,30,PAE,,,12,,,,,,,,
132,2013,9,Nghiem,Design of Concurrent Multiband Doherty Power Amplifiers for Wireless Applications,GaN,,1.5,44.19,52.45,PAE,,,11,,,,36.1,37.2 (DE),LTE (10 MHz),,GaN HEMT
