,Year,Month,Last Name (1st Author),Paper Title,"Process (CMOS_Bulk, CMOS_SOI, SiGe)",CW Performance,Frequency (GHz),Psat (dBm),PAEmax (%),P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),RF PA Note (Analog PA or Digital PA),Process node,PCB
55,2015,2,Hayati,Class-F Power Amplifier With High Power Added Efficiency Using Bowtie-Shaped Harmonic Control Circuit,ATF-34143 pHEMT,,2.4,23.6,80,,,,,,,,,,,,
56,2004,,Scuderi,A High Performance Silicon Bipolar Monolithic RF Linear Power Amplifier for W-LAN IEEE802.1 lg Applications,BJT,,2.44,27.5,52,26.0,45,30.0,,-25.0,54Mbps,21.5,32,802.11g,,BJT_HSB3(800nm),
57,2005,,Jung,"A New ""Series-Type'' Doherty Amplifier for Miniaturization",InGaP HBT,,2.45,,,27.0,35.8,24.0,,,,,,,,InGaP HBT (2000nm),
58,2008,,Fukuda,A Novel Reconfigurable Quad-band Power Amplifier with Reconfigurable Biasing Network and LTCC Substrates,FET,,2.5,30.5,40,,,,,,,,,,,FET,
59,2006,12,Südow,An SiC MESFET-Based MMIC Process,SiC,,3.0,39.0,21,33.0,10,7.0,,,,,,,,SiC MESFET(400nm),
60,2002,,Tayrani,A Broadband Monolithic S-band Class-E Power Amplifier,pHEMT,,3.25,23.0,92,,,15.0,,,,,,,,pHEMT,
61,2010,,Lin,A High Efficiency Broadband Class-E Power Amplifier Using a Reactance Compensation Technique,E/D PHEMT,,3.4,27.9,73,,,20.0,,,,,,,,E/D PHEMT,
62,2002,,Pribble,Applications of Sic MESFETs and GaN HEMTs in Power Amplifier Design,SiC MESFET,,3.5,45.6,20.6,,,6.5,,,,,,,,SiC MESFET,
63,2005,7,Italia,A silicon bipolar transmitter front-end for 802.11a and HIPERLAN2 wireless LANs,HSB3(800nm),,5.2,25.0,26,23.5,20,24.0,,-25.0,54 Mbps,19.0,8,802.11a OFDM(64QAM),Analog,HSB3(800nm),
64,2007,12,Lei,Design and Analysis of Stacked Power Amplifier in Series-Input and Series-Output Configuration,HBT(2000nm),,5.2,30.0,22.5,23.4,16,12.2,,-25.0,54 Mbps,18.0,,802.11a,,HBT(2000nm),
65,2007,,Morkner,"A Single Chip 802.11abgn Enhancement Mode PHEMT MMIC with dual LNAs, Switches, and Distortion Compensation Power Amplifiers",PHEMT MMIC,,5.5,,,,,27.0,,-26.0,54Mbps,20.0,,OFDM,,PHEMT MMIC,
66,2003,,Bakalski,"A fully integrated 4.8-6 GHz Power Amplifier with on-chip output balun in 38 GHz-f, Si-Bipolar",Si BiCMOS(250nm),,5.8,19.3,11,,,23.0,,,,,,,,Si BiCMOS(250nm),
67,2002,,Jung,The Design of T/R Module for %-Band APAA System Used in Satellite Communications,Hetero Junction FET,,7.9,,,35.6,,22.0,,,,,,,,Hetero Junction FET,
68,2001,12,Yamauchi,X-Band MMIC Power Amplifier With an On-Chip Temperature-Compensation Circuit,MESFET,,8.0,27.0,36,22.0,28,30.0,,,,,,,,MESFET,
69,2010,,Courtney,High Efficiency 80W X-Band Power Amplifier using Coaxial Waveguide Spatial Power Combining Technique,,,9.2,49.47,35,,,,,,,,,,,,
70,2003,12,Jia,Broad-Band High-Power Amplifier Using Spatial Power-Combining Technique,TGA9092 MMIC,,10.0,46.4,17,44.0,14,18.2,,,,,,,,TGA9092 MMIC,PCB
71,2004,,van Vliet,Fully-Integrated Core chip for X-Band Phased- Array T/R modules,pHEMT(250nm),,10.0,21.0,,,,20.0,,,,,,,,pHEMT(250nm),
72,2002,,Fraysse,2W Ku-band Coplanar MMIC HPA using HBT for FlipChip Assembly,HBT,,11.0,33.0,25,,,20.0,,,,,,,,HBT,
73,2004,,Mori,A Ku-Band 40W High Efficiency Solid-state Power Amplifier,HFET,,14.2,47.3,25.6,,,,,,,,,,,HFET,
74,2004,4,Belaid,A Mode Transformer Using Fin-Line Array for Spatial Power-Combiner Applications,MAAPGM0040,,14.5,,,31.0,,,,,,,,,,MAAPGM0040,PCB
75,2002,,Komiak,High Efficiency Wideband 6 to 18 GHz PHEMT Power Amplifier MMIC,pHEMT,,15.0,38.75,36,,,12.0,,,,,,,,pHEMT,
76,2002,,Huang,"Ku-Band MMIC’s in Low-Cost, SMT Compatible Packages",pHEMT(250nm),,18.0,,33,,35,25.0,,,,,,,,pHEMT(250nm),
